time,strain,temperature,stress,type,title,youngs,poissons
2450700.0,0.027539,,,,,,
2454084.0,0.027566,,,,,,
2458980.0,0.027609,,,,,,
2462436.0,0.027636,,,,,,
2465892.0,0.027667,,,,,,
2468772.0,0.027684,,,,,,
2471364.0,0.027684,,,,,,
2474028.0,0.027708,,,,,,
2477448.0,0.027741,,,,,,
2481696.0,0.02777,,,,,,
2485476.0,0.027796,,,,,,
2488896.0,0.027831,,,,,,
2490876.0,0.027843,,,,,,
2495232.0,0.027877,,,,,,
2497572.0,0.027893,,,,,,
2500560.0,0.027917,,,,,,
2504268.0,0.027946,,,,,,
2507040.0,0.027967,,,,,,
2509344.0,0.027983,,,,,,
2513520.0,0.028019,,,,,,
2515392.0,0.028022,,,,,,
2518344.0,0.028055,,,,,,
2520144.0,0.028066,,,,,,
2524464.0,0.028092,,,,,,
2527056.0,0.028119,,,,,,
2529216.0,0.02814,,,,,,
2532276.0,0.02817,,,,,,
2534796.0,0.028178,,,,,,
2537388.0,0.02821,,,,,,
2543040.0,0.028253,,,,,,
2545920.0,0.028271,,,,,,
2547936.0,0.028294,,,,,,
2550456.0,0.028302,,,,,,
2552832.0,0.028325,,,,,,
2555820.0,0.028347,,,,,,
2558952.0,0.028368,,,,,,
2562660.0,0.028401,,,,,,
2565360.0,0.028408,,,,,,
2567592.0,0.028434,,,,,,
2570364.0,0.028459,,,,,,
2572704.0,0.028475,,,,,,
2576376.0,0.028512,,,,,,
2578716.0,0.028531,,,,,,
2581704.0,0.028557,,,,,,
2583792.0,0.028566,,,,,,
2586744.0,0.028593,,,,,,
2590704.0,0.028617,,,,,,
2592864.0,0.028639,,,,,,
2595708.0,0.028654,,,,,,
2598228.0,0.028681,,,,,,
2601000.0,0.028694,,,,,,
2604816.0,0.028729,,,,,,
2608380.0,0.028747,,,,,,
2611440.0,0.028785,,,,,,
2614932.0,0.02881,,,,,,
2618892.0,0.028844,,,,,,
2621772.0,0.028865,,,,,,
2623932.0,0.028884,,,,,,
2628720.0,0.028915,,,,,,
2633004.0,0.028947,,,,,,
2634984.0,0.028963,,,,,,
2636892.0,0.028977,,,,,,
2639664.0,0.028995,,,,,,
2642796.0,0.029023,,,,,,
2645136.0,0.029037,,,,,,
2649924.0,0.029075,,,,,,
2652048.0,0.029098,,,,,,
2654208.0,0.029116,,,,,,
2656548.0,0.029138,,,,,,
2658636.0,0.029151,,,,,,
2661516.0,0.029175,,,,,,
2665296.0,0.029204,,,,,,
2667240.0,0.029213,,,,,,
2669652.0,0.029225,,,,,,
2675340.0,0.02927,,,,,,
2678328.0,0.029292,,,,,,
2680452.0,0.029314,,,,,,
2684340.0,0.029344,,,,,,
2686284.0,0.029353,,,,,,
2689380.0,0.029387,,,,,,
2693124.0,0.02942,,,,,,
2699244.0,0.029451,,,,,,
2704356.0,0.029505,,,,,,
2706444.0,0.029516,,,,,,
2711016.0,0.029552,,,,,,
2713860.0,0.029574,,,,,,
2716776.0,0.029586,,,,,,
2720988.0,0.029626,,,,,,
2724768.0,0.029647,,,,,,
2728080.0,0.029685,,,,,,
2730240.0,0.029693,,,,,,
2733768.0,0.02973,,,,,,
2737332.0,0.029745,,,,,,
