time,stress,temp,type,title,max_strain,strain_rate,youngs,poissons
0.2366,4.66602,25,cyclic-time-stress,cyclic-time-stress,0.015,4.30E-04,195600,0.29
60.4368,-271.2835,,,,,,,,
60.5368,-271.98506,,,,,,,,
60.6368,-271.75122,,,,,,,,
60.7368,-272.29687,,,,,,,,
60.8368,-272.3748,,,,,,,,
60.9368,-272.53073,,,,,,,,
61.0368,-273.31027,,,,,,,,
61.1368,-273.31027,,,,,,,,
61.2368,-273.46614,,,,,,,,
61.3368,-273.54412,,,,,,,,
61.4368,-274.01181,,,,,,,,
61.5368,-274.40157,,,,,,,,
61.6368,-274.55748,,,,,,,,
61.7368,-274.79133,,,,,,,,
61.8368,-275.18109,,,,,,,,
61.9368,-275.49289,,,,,,,,
62.0368,-275.6488,,,,,,,,
62.1368,-275.88267,,,,,,,,
62.2368,-276.19445,,,,,,,,
62.3368,-276.50627,,,,,,,,
62.4368,-276.89603,,,,,,,,
62.5368,-277.1299,,,,,,,,
62.6368,-277.59762,,,,,,,,
62.7368,-277.59762,,,,,,,,
62.8368,-278.06531,,,,,,,,
62.9368,-278.14324,,,,,,,,
63.0368,-278.29918,,,,,,,,
63.1368,-278.61096,,,,,,,,
63.2368,-278.68894,,,,,,,,
63.3368,-279.00071,,,,,,,,
63.4368,-279.3905,,,,,,,,
63.5368,-279.54639,,,,,,,,
63.6368,-280.17001,,,,,,,,
63.7368,-280.24797,,,,,,,,
63.8368,-280.24797,,,,,,,,
63.9368,-280.17001,,,,,,,,
64.0368,-280.48181,,,,,,,,
64.1368,-280.55977,,,,,,,,
64.23679,-281.49518,,,,,,,,
64.33679,-281.26133,,,,,,,,
64.4368,-281.26133,,,,,,,,
64.5368,-281.41724,,,,,,,,
64.6368,-281.41724,,,,,,,,
64.73679,-282.04087,,,,,,,,
64.83679,-282.27472,,,,,,,,
64.9368,-282.50859,,,,,,,,
65.0368,-282.35265,,,,,,,,
65.1368,-282.89832,,,,,,,,
65.23679,-282.89832,,,,,,,,
65.33679,-283.67784,,,,,,,,
65.4368,-283.83375,,,,,,,,
65.5368,-283.98964,,,,,,,,
