strain,stress,temp,type,title,max_strain,strain_rate
3.94E-04,-293.11,,,,,
3.25E-04,-293.03206,,,,,
2.98E-04,-293.18795,,,,,
2.50E-04,-293.73362,,,,,
2.08E-04,-293.49978,,,,,
1.53E-04,-294.12338,,,,,
1.19E-04,-293.88954,,,,,
9.81E-05,-294.51314,,,,,
2.24E-05,-294.43521,,,,,
8.59E-06,-294.5911,,,,,
-5.34E-05,-294.51314,,,,,
-8.09E-05,-294.82494,,,,,
-1.43E-04,-294.98086,,,,,
-1.70E-04,-295.05881,,,,,
-2.12E-04,-294.9029,,,,,
-2.53E-04,-295.05881,,,,,
-2.88E-04,-295.29268,,,,,
-3.50E-04,-295.29268,,,,,
-3.77E-04,-295.52653,,,,,
-4.18E-04,-295.52653,,,,,
-4.46E-04,-295.91631,,,,,
-5.01E-04,-295.91631,,,,,
-5.35E-04,-296.30602,,,,,
-5.49E-04,-296.07217,,,,,
-6.46E-04,-296.15015,,,,,
-6.66E-04,-296.15015,,,,,
-7.01E-04,-296.384,,,,,
-7.49E-04,-296.77376,,,,,
-7.97E-04,-296.85171,,,,,
-8.59E-04,-296.77376,,,,,
-8.73E-04,-296.92965,,,,,
-9.56E-04,-297.55327,,,,,
-9.69E-04,-297.86508,,,,,
-0.00102,-297.63123,,,,,
-0.00107,-298.02097,,,,,
-0.0011,-297.78712,,,,,
-0.00117,-298.25481,,,,,
-0.00118,-298.17688,,,,,
-0.00123,-298.25481,,,,,
-0.00126,-298.17688,,,,,
-0.00131,-298.56666,,,,,
-0.00135,-298.87844,,,,,
-0.00139,-298.80051,,,,,
-0.00142,-299.19026,,,,,
-0.00147,-298.64459,,,,,
-0.00151,-299.26822,,,,,
-0.00155,-299.26822,,,,,
-0.0016,-299.11229,,,,,
-0.00166,-298.87844,,,,,
-0.00169,-298.87844,,,,,
-0.00173,-299.58002,,,,,
-0.00176,-299.34618,,,,,
-0.00181,-299.96976,,,,,
-0.00185,-300.12567,,,,,
-0.0019,-299.96976,,,,,
-0.00193,-299.8918,,,,,
-0.00197,-300.12567,,,,,
-0.00204,-300.35954,,,,,
-0.00208,-300.67134,,,,,
-0.00211,-300.74928,,,,,
-0.00218,-300.90521,,,,,
-0.0022,-300.98314,,,,,
-0.00225,-300.98314,,,,,
-0.00229,-301.21699,,,,,
-0.00232,-301.52882,,,,,
-0.00237,-301.68473,,,,,
-0.00239,-301.52882,,,,,
-0.00247,-301.52882,,,,,
-0.00249,-301.84062,,,,,
-0.00254,-301.84062,,,,,
-0.00259,-302.15244,,,,,
-0.00262,-301.99653,,,,,
-0.00264,-302.15244,,,,,
-0.00269,-302.15244,,,,,
-0.00273,-302.30831,,,,,
-0.00279,-302.38629,,,,,
-0.00281,-302.62016,,,,,
-0.00284,-302.62016,,,,,
-0.00293,-302.69809,,,,,
-0.00296,-302.854,,,,,
-0.00299,-302.93194,,,,,
-0.00304,-303.16578,,,,,
-0.00308,-302.77605,,,,,
-0.0031,-303.39967,,,,,
-0.00316,-303.47761,,,,,
-0.00319,-303.63352,,,,,
-0.00326,-303.55556,,,,,
-0.00328,-303.55556,,,,,
-0.00335,-304.17919,,,,,
-0.00338,-303.86737,,,,,
-0.00343,-304.72484,,,,,
-0.00346,-304.25715,,,,,
-0.0035,-304.41304,,,,,
-0.00355,-304.64688,,,,,
-0.00359,-304.56893,,,,,
-0.00363,-305.03664,,,,,
-0.00367,-304.72484,,,,,
-0.00373,-304.95869,,,,,
-0.00377,-305.19255,,,,,
-0.00381,-305.11462,,,,,
-0.00385,-305.03664,,,,,
-0.00389,-305.34847,,,,,
-0.00392,-305.19255,,,,,
-0.00397,-305.4264,,,,,
-0.00399,-305.34847,,,,,
-0.00404,-305.73822,,,,,
-0.00408,-305.66025,,,,,
-0.00412,-305.66025,,,,,
-0.00419,-305.89411,,,,,
-0.00422,-305.97209,,,,,
-0.00426,-306.28387,,,,,
-0.0043,-305.81616,,,,,
-0.00436,-306.51772,,,,,
-0.00439,-306.36181,,,,,
-0.00443,-306.67363,,,,,
-0.00447,-306.75159,,,,,
-0.0045,-306.98543,,,,,
-0.00456,-307.06341,,,,,
-0.0046,-307.21928,,,,,
-0.00464,-307.60906,,,,,
-0.00469,-307.45315,,,,,
-0.00472,-307.37519,,,,,
-0.00475,-307.37519,,,,,
-0.00479,-307.60906,,,,,
-0.00485,-307.92086,,,,,
-0.00488,-307.99882,,,,,
-0.00494,-307.92086,,,,,
-0.00498,-308.15471,,,,,
-0.00505,-308.23266,,,,,
-0.00507,-307.99882,,,,,
-0.00511,-308.07675,,,,,
-0.00514,-308.54449,,,,,
-0.00518,-308.07675,,,,,
-0.00522,-308.54449,,,,,
-0.00527,-308.54449,,,,,
-0.00531,-308.70038,,,,,
-0.00536,-308.70038,,,,,
-0.00537,-308.46653,,,,,
-0.00544,-309.09014,,,,,
-0.00549,-309.16809,,,,,
-0.00553,-309.32401,,,,,
-0.00558,-309.55785,,,,,
-0.00562,-309.63581,,,,,
-0.00567,-309.4799,,,,,
-0.00569,-309.71374,,,,,
-0.00574,-309.63581,,,,,
-0.0058,-310.18146,,,,,
-0.00582,-310.18146,,,,,
-0.00588,-310.41533,,,,,
-0.00591,-310.41533,,,,,
-0.00598,-310.41533,,,,,
-0.00598,-310.25944,,,,,
-0.00606,-310.41533,,,,,
-0.00609,-310.57122,,,,,
-0.00611,-310.49328,,,,,
-0.00616,-310.80506,,,,,
-0.0062,-310.80506,,,,,
-0.00624,-310.88306,,,,,
-0.00629,-310.88306,,,,,
-0.00633,-310.64919,,,,,
-0.00638,-311.27278,,,,,
-0.00639,-310.961,,,,,
-0.00645,-311.27278,,,,,
