strain,stress,temp,type,title,medium,strain_rate,youngs,poissons
0.009036646,214.1262667,,,,,,,
0.009045367,214.6326773,,,,,,,
0.009054088,215.2400062,,,,,,,
0.009062709,215.7464138,,,,,,,
0.00907143,216.2528516,,,,,,,
0.009082925,216.7598996,,,,,,,
0.009123454,216.6677684,,,,,,,
0.009137922,217.074575,,,,,,,
0.009149416,217.5816658,,,,,,,
0.009158136,218.0881632,,,,,,,
0.009166856,218.5946694,,,,,,,
0.009239088,217.5002494,,,,,,,
0.009256427,217.8068105,,,,,,,
0.009276639,218.1140088,,,,,,,
0.009366299,219.8495633,,,,,,,
0.009383636,220.257146,,,,,,,
0.009395226,220.6634747,,,,,,,
0.00940969,221.0704479,,,,,,,
0.009903795,210.2722146,,,,,,,
0.00991538,210.8806294,,,,,,,
0.009926964,211.3880605,,,,,,,
0.009935578,211.9958725,,,,,,,
0.009944291,212.5027166,,,,,,,
0.009950034,213.0089367,,,,,,,
0.009961222,213.5163254,,,,,,,
0.009970133,214.023238,,,,,,,
0.009979043,214.5301596,,,,,,,
0.009987954,215.138094,,,,,,,
0.009995874,215.644821,,,,,,,
0.010004785,216.15177,,,,,,,
0.010013695,216.658728,,,,,,,
0.010022605,217.2667023,,,,,,,
0.010033496,217.7741104,,,,,,,
0.010042406,218.2810973,,,,,,,
0.010051316,218.7880932,,,,,,,
0.010060226,219.2950981,,,,,,,
0.010068146,219.9029063,,,,,,,
0.010077055,220.4099296,,,,,,,
0.010102794,220.5166182,,,,,,,
0.010114674,221.0243208,,,,,,,
0.010475935,212.9188817,,,,,,,
0.010486821,213.5275246,,,,,,,
0.010495727,214.0347018,,,,,,,
0.010504633,214.541888,,,,,,,
0.010513539,215.0490832,,,,,,,
0.010524423,215.556714,,,,,,,
0.010533329,216.1649871,,,,,,,
0.010542235,216.6722112,,,,,,,
