x,y,type,temp,stress
177.8,0.05418,,,
177.92,0.05423,,,
178.15,0.05428,,,
178.29,0.05434,,,
178.5,0.05439,,,
178.62,0.05444,,,
178.8,0.0545,,,
179.04,0.05455,,,
179.17,0.0546,,,
179.25,0.05465,,,
179.44,0.0547,,,
179.55,0.05475,,,
179.65,0.0548,,,
179.89,0.05485,,,
180.27,0.05491,,,
180.56,0.05496,,,
180.79,0.05501,,,
180.92,0.05506,,,
181.12,0.05511,,,
181.26,0.05516,,,
181.47,0.05521,,,
181.72,0.05526,,,
181.94,0.05531,,,
182.12,0.05536,,,
182.51,0.05541,,,
182.77,0.05546,,,
182.91,0.05552,,,
183.14,0.05557,,,
183.34,0.05562,,,
183.54,0.05568,,,
183.83,0.05573,,,
183.98,0.05578,,,
184.13,0.05584,,,
184.26,0.05589,,,
184.41,0.05595,,,
184.59,0.056,,,
184.76,0.05606,,,
185.03,0.05611,,,
185.21,0.05616,,,
185.38,0.05621,,,
185.53,0.05627,,,
185.76,0.05632,,,
185.93,0.05637,,,
186.11,0.05642,,,
186.31,0.05648,,,
186.58,0.05653,,,
187.01,0.05658,,,
187.23,0.05663,,,
187.53,0.05668,,,
187.71,0.05673,,,
187.86,0.05678,,,
188.05,0.05683,,,
188.2,0.05688,,,
188.35,0.05693,,,
188.61,0.05698,,,
188.78,0.05702,,,
189.01,0.05707,,,
189.21,0.05712,,,
189.33,0.05717,,,
189.45,0.05721,,,
189.6,0.05726,,,
189.88,0.05731,,,
190.02,0.05735,,,
190.15,0.0574,,,
190.28,0.05745,,,
190.4,0.05749,,,
190.57,0.05754,,,
190.72,0.05758,,,
190.88,0.05763,,,
191.05,0.05768,,,
191.18,0.05772,,,
191.33,0.05777,,,
191.6,0.05781,,,
191.75,0.05786,,,
191.88,0.05791,,,
192,0.05795,,,
192.25,0.058,,,
192.48,0.05805,,,
192.73,0.05809,,,
192.87,0.05814,,,
193.27,0.05819,,,
193.42,0.05824,,,
193.79,0.05828,,,
193.94,0.05833,,,
194.12,0.05838,,,
194.27,0.05843,,,
194.42,0.05848,,,
194.5,0.05853,,,
194.62,0.05858,,,
194.79,0.05863,,,
194.92,0.05868,,,
195.14,0.05873,,,
195.3,0.05878,,,
195.47,0.05883,,,
195.77,0.05888,,,
195.95,0.05893,,,
196.27,0.05898,,,
196.46,0.05904,,,
196.66,0.05909,,,
196.82,0.05914,,,
196.96,0.05919,,,
197.16,0.05924,,,
197.39,0.05929,,,
197.64,0.05934,,,
