x,y,type,temp,stress
281.18,2.5775,,,
281.61,2.5792,,,
282,2.5839,,,
282.36,2.5864,,,
282.71,2.5886,,,
283.28,2.594,,,
283.67,2.5975,,,
283.93,2.5987,,,
284.43,2.6016,,,
284.72,2.6052,,,
284.98,2.6071,,,
285.32,2.6091,,,
285.78,2.6135,,,
286.18,2.6159,,,
286.47,2.6188,,,
286.97,2.6215,,,
287.59,2.6265,,,
287.89,2.6295,,,
288.25,2.6322,,,
288.84,2.6372,,,
289.22,2.6399,,,
289.47,2.6415,,,
289.74,2.6444,,,
289.99,2.6446,,,
290.54,2.6502,,,
291.04,2.6526,,,
291.54,2.658,,,
291.99,2.6609,,,
292.46,2.665,,,
293.11,2.6695,,,
293.46,2.6721,,,
293.86,2.6761,,,
294.33,2.6794,,,
294.76,2.6828,,,
295.48,2.687,,,
295.79,2.6905,,,
296.31,2.694,,,
296.78,2.6983,,,
297.1,2.7002,,,
297.48,2.7037,,,
297.8,2.7064,,,
298.05,2.7076,,,
298.36,2.7099,,,
298.66,2.7124,,,
299.15,2.7158,,,
299.68,2.7202,,,
300.22,2.7247,,,
300.48,2.7284,,,
300.93,2.7291,,,
301.52,2.7354,,,
301.77,2.7379,,,
302.05,2.7386,,,
302.55,2.7417,,,
302.87,2.7448,,,
303.75,2.7512,,,
304.05,2.753,,,
304.32,2.7553,,,
305.05,2.7599,,,
305.39,2.764,,,
305.77,2.7666,,,
306.31,2.7699,,,
307.12,2.7772,,,
307.56,2.7815,,,
307.81,2.7831,,,
308.06,2.7836,,,
308.41,2.7867,,,
309.06,2.792,,,
309.44,2.7943,,,
309.73,2.7954,,,
309.98,2.7958,,,
310.39,2.8002,,,
310.71,2.8027,,,
311.06,2.8052,,,
311.34,2.8085,,,
311.8,2.8114,,,
312.2,2.815,,,
312.48,2.8174,,,
312.78,2.8193,,,
313.25,2.8229,,,
313.55,2.8251,,,
314.28,2.831,,,
314.72,2.8342,,,
315.3,2.8393,,,
315.68,2.8415,,,
316.12,2.8447,,,
316.48,2.8482,,,
316.73,2.8507,,,
317.03,2.8524,,,
317.32,2.8555,,,
317.62,2.8574,,,
317.94,2.8594,,,
318.32,2.8624,,,
318.57,2.8637,,,
319.14,2.8694,,,
319.64,2.8731,,,
319.89,2.8749,,,
320.14,2.8768,,,
320.66,2.8805,,,
321.46,2.8862,,,
322.04,2.8915,,,
322.56,2.8953,,,
322.87,2.8983,,,
323.46,2.9022,,,
323.78,2.9043,,,
324.46,2.9088,,,
324.71,2.9116,,,
325.19,2.9149,,,
325.66,2.9187,,,
325.93,2.9203,,,
326.19,2.9223,,,
326.53,2.924,,,
327.21,2.9295,,,
327.68,2.9339,,,
328.05,2.9361,,,
328.56,2.9406,,,
328.88,2.9437,,,
329.52,2.9477,,,
330.12,2.9523,,,
330.65,2.9565,,,
330.93,2.9586,,,
331.38,2.9629,,,
332.05,2.9672,,,
332.49,2.9706,,,
